start_time,cycle_length,cycle_number,cycle_type
0.303,0.34,1,walk-stride
0.926,0.182,2,walk-stride
1.248,0.282,3,walk-stride
1.771,0.34,4,walk-stride
2.451,0.365,5,run-stride
3.161,0.342,6,run-stride
3.883,0.36,7,run-stride
4.606,0.342,8,run-stride
5.291,0.36,9,run-stride
5.993,0.361,10,run-stride
6.717,0.341,11,run-stride
7.441,0.362,12,run-stride
8.163,0.36,13,run-stride
8.888,0.361,14,run-stride
9.631,0.383,15,run-stride
10.376,0.38,16,run-stride
11.118,0.36,17,run-stride
11.859,0.361,18,run-stride
12.582,0.369,19,run-stride
13.311,0.364,20,run-stride
14.039,0.744,21,run-stride
15.146,0.382,22,run-stride
15.908,0.363,23,run-stride
17.031,0.4,24,run-stride
17.831,0.36,25,run-stride
18.573,0.383,26,run-stride
19.361,0.845,27,run-stride
20.751,0.142,28,walk-stride
21.153,0.22,29,walk-stride
21.956,0.142,30,walk-stride
22.518,0.14,31,walk-stride
23.079,0.142,32,walk-stride
23.645,0.14,33,walk-stride
24.186,0.16,34,walk-stride
24.746,0.14,35,walk-stride
25.308,0.14,36,walk-stride
25.871,0.14,37,walk-stride
26.471,0.547,38,walk-stride
27.16,0.421,39,walk-stride
27.721,0.426,40,walk-stride
28.711,0.16,41,walk-stride
29.293,0.16,42,walk-stride
29.878,0.16,43,walk-stride
30.441,0.16,44,walk-stride
31.023,0.12,45,walk-stride
31.563,0.14,46,walk-stride
32.131,0.54,47,walk-stride
32.833,0.4,48,walk-stride
33.775,0.708,49,walk-stride
34.903,0.16,50,walk-stride
35.463,0.14,51,walk-stride
36.005,0.141,52,walk-stride
36.592,0.141,53,walk-stride
37.138,0.562,54,walk-stride
37.863,0.403,55,walk-stride
38.406,0.422,56,walk-stride
39.008,0.403,57,walk-stride
39.551,0.42,58,walk-stride
40.113,0.443,59,walk-stride
40.696,0.422,60,walk-stride
41.28,0.4,61,walk-stride
41.841,0.402,62,walk-stride
42.383,0.421,63,walk-stride
42.946,0.441,64,walk-stride
43.508,0.443,65,walk-stride
44.091,0.428,66,walk-stride
44.682,0.421,67,walk-stride
45.243,0.442,68,walk-stride
45.826,0.58,69,walk-stride
46.808,0.142,70,walk-stride
47.393,0.14,71,walk-stride
48.1,0.582,72,walk-stride
49.143,0.14,73,walk-stride
49.908,0.322,74,walk-stride
50.473,0.2,75,walk-stride
50.894,0.144,76,walk-stride
51.281,0.26,77,walk-stride
52.465,0.961,78,walk-stride
